objID,ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z
587745541047452969,133.04693314,11.69152758,24.1502,24.13416,22.60277,21.00008,20.13097
587745541047451967,133.04726082,11.76051427,14.85948,14.3143,12.24422,16.151,12.37239
587745541047451883,133.04744107,11.67554256,15.78345,14.4737,14.05171,14.04421,13.88212
587745243083702587,133.04748315,11.95973217,19.03355,18.03495,17.7843,17.6577,17.6283
587745541047452546,133.04764581,11.77045759,22.58472,25.33892,25.59753,23.95409,22.41735
587745243083703182,133.04774399,11.9105341,23.02721,22.6816,22.54255,22.62963,22.3699
587745243083702586,133.04776099,11.95782424,20.22787,17.75663,16.72747,16.3452,16.12695
587745243083637687,132.94402489,11.86741133,21.61806,21.25242,20.94741,21.00009,20.32996
587745243083637315,132.94406139,11.81853847,25.34276,23.37129,23.22687,21.18917,20.16052
587745541047386597,132.9442076,11.71438102,24.3312,22.9894,25.30603,24.07972,22.7865
587745243083637698,132.94424767,11.95707667,21.99802,21.74484,21.79655,21.98858,21.74026
587745541047386595,132.94430272,11.7124108,19.91082,17.42336,16.33146,15.90527,15.69798
587745403608629299,132.94430734,11.60052064,23.73606,24.3469,22.43132,24.00124,22.83765
587745541047386505,132.94434567,11.74943197,14.12479,11.20892,16.41117,16.12525,12.64505
587745243083637317,132.94445247,11.82257727,26.15993,24.21387,22.29644,21.82746,21.26808
587745541047452882,132.99506338,11.68580129,23.08251,23.71264,22.61403,22.2901,22.10505
587745541047451724,132.99506777,11.73674503,21.76853,19.30939,18.10388,17.58657,17.28752
587745541047451718,132.99515762,11.73020567,22.11862,19.69838,18.02407,17.04284,16.493
587745243083702692,132.99517666,11.84718746,22.67497,20.20356,19.0312,18.67019,18.40199
587745403608630106,132.99532106,11.62774423,22.81483,22.1797,21.75595,21.43488,21.41232
587744873716514988,132.99553298,11.99888185,17.88135,16.00705,15.38572,15.08855,14.99295
587745541047451717,132.99561939,11.73049036,19.09437,17.19495,16.46461,16.22787,16.09468
587745243083702309,132.99579455,11.8539242,17.14093,15.52858,14.90477,14.73787,14.64066
587745541047451682,132.99587431,11.69696697,16.4663,15.00052,15.43175,14.35924,14.31111
587745243083703330,132.99600207,11.81519103,23.93672,24.65624,22.76253,21.77161,21.41348
587745541047451723,132.9960733,11.73548176,18.52794,17.06118,16.48887,16.30226,16.12742
587744873716515231,132.99609297,12.05223723,19.89425,18.19645,17.50331,17.16665,16.99844
587744873716515001,132.99625551,12.03384038,24.42005,22.56754,23.33459,19.82837,19.12685
587745243083702687,132.99627645,11.81940313,21.24167,20.02341,19.5522,19.43629,19.30316
587745243083702399,132.99627651,11.87667289,23.04997,22.86491,21.39663,20.11884,19.38082
587744873716515753,132.99642886,11.98613203,23.97146,23.73351,22.38755,20.62198,20.07267
587744873716515369,132.99647463,12.02309212,21.91174,24.72572,25.57133,23.24414,23.33639
587745243083702517,133.04324124,11.88280493,24.63332,19.84031,18.03483,17.12884,17.18966
587745243083703160,133.04329102,11.89898537,24.4053,22.08054,20.60894,19.87154,19.36001
587745243083703398,133.04340793,11.82316115,24.60106,23.41115,21.99969,20.55536,19.83856
587745243083703461,133.04346515,11.96291836,23.52907,25.30703,22.75828,25.388,22.50812
587745541047452727,133.04348565,11.78741472,22.70904,22.22354,22.06313,21.54389,20.98367
587745243083702516,133.04363512,11.88281756,19.63822,17.01125,15.70921,15.18477,14.90354
587745243083702757,133.0436689,11.91665939,21.8474,19.13657,17.69288,16.96081,16.49772
587745243083703428,133.04376603,11.87222099,25.96035,24.08647,22.25934,20.61691,19.56045
587745243083703400,133.04393381,11.82535137,25.26612,23.38346,21.72205,21.31294,21.3195
587745403608629565,133.04403158,11.64173205,18.23554,16.95209,16.49586,16.35786,16.31316
587745541047453216,133.0440587,11.7129744,24.90805,25.31664,23.32898,22.08878,21.47333
587745541047451908,133.04423259,11.74617476,21.9952,19.57515,18.32622,17.86239,17.60083
587745403608630148,133.04429125,11.55781275,24.26638,21.76719,20.7958,20.45063,20.18743
587745243083703436,133.04443094,11.90927121,25.76966,24.38298,22.76907,21.38668,19.99192
587745403608630158,133.04450498,11.57292571,24.82443,23.36038,22.3041,20.59637,19.56012
587745403608629697,133.0446863,11.59564655,20.64318,18.26746,16.88746,15.72295,15.12435
587744873716580802,133.05051768,12.03723883,25.28734,22.92359,21.75964,20.27362,19.36919
587745243083702964,133.05072189,11.82026032,21.92329,25.33052,25.29357,23.99177,23.05861
587745541047452742,133.05073528,11.77592966,24.94168,23.0525,21.43,20.74267,20.31027
587745243083703207,133.05076192,11.94505265,25.08278,24.63212,24.50922,21.20677,20.21743
587745243083703569,133.05080653,11.98017207,23.93372,23.73742,23.45963,22.00954,21.101
587745541047453027,133.05094278,11.78829033,25.20933,23.33388,21.76213,20.5895,20.05321
587745541047453017,133.05110156,11.75024656,23.92986,26.03313,25.06867,24.51169,21.19677
