z,petroMag_r
0.07726939,16.61439
0.07728671,16.61439
0.106441,17.7211
0.1064815,17.7211
0.1064955,17.7211
0.1064921,16.99005
0.1064986,16.99005
0.1064513,16.99005
0.08260095,17.64706
0.0825676,17.64706
0.08250514,17.64706
0.03465267,14.72869
0.03469991,14.72869
0.03465883,14.72869
0.08503557,15.95916
0.08501525,15.95916
0.08501464,15.95916
0.07393923,17.31616
0.07402101,17.31616
0.07397862,17.31616
0.1103796,16.54378
0.1104037,16.54378
0.110377,16.54378
0.1106793,17.63248
0.1106633,17.63248
0.1107068,17.63248
0.1904126,17.73994
0.1904841,17.73994
0.1903403,17.73994
0.1108644,17.61793
0.1108963,17.61793
0.1108392,17.61793
0.05372967,16.46505
0.05369467,16.46505
0.05370142,16.46505
0.0817534,17.68352
0.08180457,17.68352
0.08183207,17.68352
0.1091632,17.60206
0.109132,17.60206
0.1091423,17.60206
0.2431804,20.52201
0.05613263,16.59253
0.05612796,16.59253
0.08655722,17.20197
0.08655477,17.20197
0.2864223,17.91332
0.2865632,17.91332
0.09430261,17.73719
0.09429195,17.73719
0.1334156,17.64636
0.1334382,17.64636
0.1109076,16.7216
0.1108731,16.7216
0.01082213,15.81086
0.01079305,15.81086
0.05531379,16.99874
0.05530245,16.99874
0.05541164,16.54048
0.05544404,16.54048
0.05481449,17.60278
0.05482846,17.60278
0.07450364,17.31586
0.07449585,17.31586
0.1850837,17.73102
0.1851151,17.73102
0.06703951,17.80618
0.06703886,17.80618
0.3546131,18.94066
0.3539836,18.94066
0.1655434,17.766
0.165524,17.766
0.2375915,17.50908
0.2375488,17.50908
0.08463445,17.39793
0.08462927,17.39793
0.08467748,17.52522
0.08466134,17.52522
0.1854683,17.74012
0.1854437,17.74012
0.2049559,17.53604
0.2049608,17.53604
0.1850652,17.57331
0.1850458,17.57331
0.1337481,17.62715
0.133718,17.62715
0.0672106,17.39638
0.06723795,17.39638
0.08628662,17.66666
0.08631446,17.66666
0.07408451,16.82086
0.07406942,16.82086
0.06725989,15.80709
0.06732342,15.80709
0.08497628,17.54148
0.08494115,17.54148
0.05511795,16.66496
0.05514691,16.66496
0.08446659,17.13153
0.08450099,17.13153
0.1055476,17.38858
0.1055946,17.38858
0.1056432,17.38858
0.108059,15.35474
0.1081549,15.35474
0.1082305,15.35474
0.07269957,17.10937
0.07268252,17.10937
0.2002116,16.60708
0.2000935,16.60708
0.1076187,16.41249
0.107591,16.41249
0.07918766,16.30948
0.07287462,16.75311
0.4084947,19.08094
0.4086391,19.08094
0.1365684,17.74634
0.1367021,17.74634
0.1366085,17.74634
0.1395337,17.20946
0.08620647,16.99288
0.08636165,16.99288
0.08618652,16.99288
0.1394634,17.20946
0.08886774,17.34656
