z,Column1,Column2
0.08816696,16.43992,-21.584347763699
0.2211971,16.94485,-23.2610329579779
0.2211389,16.94485,-23.2603886870096
0.08844595,16.9721,-21.0594479306571
0.08843454,16.9721,-21.0591505867901
0.0921103,17.62631,-20.4989243404973
0.08561133,16.52826,-21.4282482035349
0.08336419,16.19035,-21.7049837289133
0.08461425,17.45441,-20.4751511885825
0.08323718,17.09831,-20.7935220702111
0.06491762,15.44979,-21.8739588521298
0.06502754,15.32213,-22.0054699923712
0.1391594,17.30203,-21.7878446002207
0.06983577,16.62199,-20.8680108278097
0.08886553,17.65382,-20.3886356070489
0.08812667,17.65344,-20.3697702635069
0.1705594,17.19253,-22.3825725134393
0.1697427,16.49963,-23.0639374669038
0.1656173,17.07108,-22.4334614762107
0.163661,17.45306,-22.023003203063
0.1673396,17.56121,-21.9681384022425
0.1661778,17.43093,-22.08170974458
0.1247119,17.03034,-21.8009168000885
0.1670379,16.89758,-22.6274343597877
0.1671671,17.74893,-21.7779465316665
0.1680779,17.64786,-21.8920462198277
0.07280485,17.05375,-20.5312663165985
0.1683408,17.30377,-22.2398884122971
0.3142855,18.89964,-22.1798960230807
0.09023034,17.72353,-20.3540910748083
0.0914688,17.59542,-20.5136748962812
0.08827484,17.63684,-20.3902481521
0.3042496,18.14625,-22.8514833074712
0.3058119,17.60837,-23.4022570311842
0.1054762,16.53196,-21.9074504727132
0.04526348,14.56599,-21.9434977782615
0.04565933,17.02534,-19.5036937767982
0.04281429,15.49498,-20.8897665929417
0.09491993,16.76365,-21.4310524194076
0.08966059,16.94083,-21.1221767746
0.09239345,16.79336,-21.3389682909518
0.08847246,16.69825,-21.3339921107119
0.09199978,17.22101,-20.9014470724327
0.09193879,16.37317,-21.7477564019159
0.09008988,15.45768,-22.6163470397037
0.03264355,17.33712,-18.4421323828105
0.09508175,16.39413,-21.8045122609982
0.03270648,17.3433,-18.4402373621006
0.09192903,17.53021,-20.5904697958146
0.08995679,16.27511,-21.7955023195077
0.3041758,17.75473,-23.2423917837858
0.03283051,15.00256,-20.7894000707051
0.09086309,17.28087,-20.8128745038323
0.03133717,17.19993,-18.4884863150922
0.03969949,16.33196,-19.8837305168744
0.3007238,18.62886,-22.3395418164826
0.3300673,19.05243,-22.1510240143231
0.08465462,16.40698,-21.5236726585902
0.158064,17.61654,-21.7762978772282
0.1205355,17.31267,-21.4385864100217
0.09181442,17.60963,-20.5081737464118
0.3604086,19.11248,-22.3146909998641
0.1163202,17.43954,-21.2282937876972
0.1137964,16.80526,-21.8112601873204
0.05442572,14.7456,-22.178821038256
0.05436828,16.7702,-20.151833006498
0.08912047,16.70622,-21.3428489458365
0.3898208,18.86764,-22.7604751651782
0.2741924,17.76934,-22.9676976058377
0.08999225,17.57668,-20.4948388311277
0.3892539,18.85937,-22.7650082970729
0.1169645,17.51439,-21.1663788539914
0.0858722,17.30337,-20.6601451143981
0.05351913,16.1305,-20.7560006279644
0.1163855,17.2456,-21.423545135858
0.3408674,18.73596,-22.549209745439
0.04070121,17.36807,-18.903350001966
0.08543771,17.67949,-20.2723480450189
0.118315,17.46424,-21.24342384572
0.05107203,17.477,-19.3039723801057
0.07758257,16.70013,-21.0302736988627
0.3362942,18.453,-22.7978608944577
0.04233624,17.32074,-19.0388521846796
0.08508994,17.53732,-20.4051380713954
0.3017915,18.91191,-22.0654030767751
0.1044691,17.70204,-20.7150544334594
0.04077013,15.66645,-20.6087573814646
0.1570185,16.71524,-22.6617428588809
0.4521006,19.43953,-22.5717080241225
0.136777,17.52321,-21.5258030418227
0.1559238,16.71036,-22.6499171010901
0.3254951,18.56902,-22.5991077250541
0.03279805,17.0203,-18.7694587350247
0.09308095,15.69884,-22.450619723038
0.03353775,15.96699,-19.8724093109477
0.09459472,17.35238,-20.8343855043959
0.09375454,16.32292,-21.8432114133681
0.3996414,19.12532,-22.5667926631064
0.09366773,17.44265,-20.7213356400992
0.09375378,17.66597,-20.5001407590618
0.3413303,18.53632,-22.7523042774199
0.09312479,17.42051,-20.7300381859855
0.1571065,17.42898,-21.9493364348441
0.197679,17.08648,-22.8450864759606
0.1964118,17.57914,-22.3368004897885
0.2052168,17.83993,-22.1826887707496
0.1263543,17.19464,-21.6673875860126
0.03249471,15.3955,-20.3735828936021
0.1183605,16.72158,-21.9869802672572
0.03213125,15.84538,-19.8986838636985
0.1285773,17.65053,-21.2525552329033
0.1560454,17.06509,-22.2970551019161
0.3776335,18.17276,-23.3738386804499
